Hodnota,Vyznam,Odkaz
311,"velkoobchod a maloobchod; opravy a údržba motorových vozidel, výrobků pro osobní potřebu a převážně pro domácnost",http://inspire.ec.europa.eu/codelist/HILUCSValue/3_1_1_WholesaleAndRetailTradeAndRepairOfVehiclesAndPersonalAndHouseholdGoods
312,služby v oblasti nemovitostí,http://inspire.ec.europa.eu/codelist/HILUCSValue/3_1_2_RealEstateServices
313,"ubytování, stravování a pohostinství",http://inspire.ec.europa.eu/codelist/HILUCSValue/3_1_3_AccommodationAndFoodServices
314,jiné komerční služby,http://inspire.ec.europa.eu/codelist/HILUCSValue/3_1_4_OtherCommercialServices
320,"finanční, odborné a informační služby",http://inspire.ec.europa.eu/codelist/HILUCSValue/3_2_FinancialProfessionalAndInformationServices
321,služby v oblasti peněžnictví a pojišťovnictví,http://inspire.ec.europa.eu/codelist/HILUCSValue/3_2_1_FinancialAndInsuranceServices
322,odborné technické a vědecké služby,http://inspire.ec.europa.eu/codelist/HILUCSValue/3_2_2_ProfessionalTechnicalAndScientificServices
323,informační a komunikační služby,http://inspire.ec.europa.eu/codelist/HILUCSValue/3_2_3_InformationAndCommunicationServices
324,administrativní a doplňkové služby,http://inspire.ec.europa.eu/codelist/HILUCSValue/3_2_4_AdministrativeAndSupportServices
325,"jiné finanční, odborné a informační služby",http://inspire.ec.europa.eu/codelist/HILUCSValue/3_2_5_OtherFinancialProfessionalAndInformationServices
330,služby pro obyvatelstvo,http://inspire.ec.europa.eu/codelist/HILUCSValue/3_3_CommunityServices
331,"veřejná správa, obrana a služby sociálního zabezpečení",http://inspire.ec.europa.eu/codelist/HILUCSValue/3_3_1_PublicAdministrationDefenceAndSocialSecurityServices
332,služby v oblasti vzdělávání,http://inspire.ec.europa.eu/codelist/HILUCSValue/3_3_2_EducationalServices
333,zdravotnictví a sociální služby,http://inspire.ec.europa.eu/codelist/HILUCSValue/3_3_3_HealthAndSocialServices
334,náboženské služby,http://inspire.ec.europa.eu/codelist/HILUCSValue/3_3_4_ReligiousServices
335,jiné služby pro obyvatelstvo,http://inspire.ec.europa.eu/codelist/HILUCSValue/3_3_5_OtherCommunityServices
340,"kulturní, umělecké a ostatní zábavní a rekreační služby",http://inspire.ec.europa.eu/codelist/HILUCSValue/3_4_CulturalEntertainmentAndRecreationalServices
341,kulturní služby,http://inspire.ec.europa.eu/codelist/HILUCSValue/3_4_1_CulturalServices
342,zábavní služby,http://inspire.ec.europa.eu/codelist/HILUCSValue/3_4_2_EntertainmentServices
